Внутр. ID;Внешн. ID
POST;ЧР
NOUN;СУЩ
ADJF;ПРИЛ
ADJS;КР_ПРИЛ
COMP;КОМП
VERB;ГЛ
INFN;ИНФ
PRTF;ПРИЧ
PRTS;КР_ПРИЧ
GRND;ДЕЕПР
NUMR;ЧИСЛ
ADVB;Н
NPRO;МС
PRED;ПРЕДК
PREP;ПР
CONJ;СОЮЗ
PRCL;ЧАСТ
INTJ;МЕЖД
ANim;Од-неод
anim;од
inan;неод
GNdr;хр
masc;мр
femn;жр
neut;ср
ms-f;мж
NMbr;Число
sing;ед
plur;мн
Sgtm;sg
Pltm;pl
Fixd;0
CAse;Падеж
nomn;им
gent;рд
datv;дт
accs;вн
ablt;тв
loct;пр
voct;зв
gen1;рд1
gen2;рд2
acc2;вн2
loc1;пр1
loc2;пр2
Abbr;аббр
Name;имя
Surn;фам
Patr;отч
Geox;гео
Orgn;орг
Trad;tm
Subx;субст?
Supr;превосх
Qual;кач
Apro;мест-п
Anum;числ-п
Poss;притяж
V-ey;*ею
V-oy;*ою
Cmp2;сравн2
V-ej;*ей
ASpc;Вид
perf;сов
impf;несов
TRns;Перех
tran;перех
intr;неперех
Impe;безл
Impx;безл?
Mult;мног
Refl;возвр
PErs;Лицо
1per;1л
2per;2л
3per;3л
TEns;Время
pres;наст
past;прош
futr;буд
MOod;Накл
indc;изъяв
impr;повел
INvl;Совм
incl;вкл
excl;выкл
VOic;Залог
actv;действ
pssv;страд
Infr;разг
Slng;жарг
Arch;арх
Litr;лит
Erro;опеч
Dist;искаж
Ques;вопр
Dmns;указ
Prnt;вводн
V-be;*ье
V-en;*енен
V-ie;*ие
V-bi;*ьи
Fimp;*несов
Prdx;предк?
Coun;счетн
Coll;собир
V-sh;*ши
Af-p;*предл
Inmx;не/одуш?
Vpre;в_предл
Anph;Анаф
Init;иниц
Adjx;прил?
Ms-f;ор
